niveau;code;libelle
2;01;Culture et production animale, chasse et services annexes
2;02;Sylviculture et exploitation forestière
2;03;Pêche et aquaculture
2;05;Extraction de houille et de lignite
2;06;Extraction d'hydrocarbures
2;07;Extraction de minerais métalliques
2;08;Autres industries extractives
2;09;Services de soutien aux industries extractives
2;10;Industries alimentaires
2;11;Fabrication de boissons
2;12;Fabrication de produits à base de tabac
2;13;Fabrication de textiles
2;14;Industrie de l'habillement
2;15;Industrie du cuir et de la chaussure
2;16;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
2;17;Industrie du papier et du carton
2;18;Imprimerie et reproduction d'enregistrements
2;19;Cokéfaction et raffinage
2;20;Industrie chimique
2;21;Industrie pharmaceutique
2;22;Fabrication de produits en caoutchouc et en plastique
2;23;Fabrication d'autres produits minéraux non métalliques
2;24;Métallurgie
2;25;Fabrication de produits métalliques, à l'exception des machines et des équipements
2;26;Fabrication de produits informatiques, électroniques et optiques
2;27;Fabrication d'équipements électriques
2;28;Fabrication de machines et équipements n.c.a.
2;29;Industrie automobile
2;30;Fabrication d'autres matériels de transport
2;31;Fabrication de meubles
2;32;Autres industries manufacturières
2;33;Réparation et installation de machines et d'équipements
2;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
2;36;Captage, traitement et distribution d'eau
2;37;Collecte et traitement des eaux usées
2;38;"Collecte, traitement et élimination des déchets ; récupération"
2;39;Dépollution et autres services de gestion des déchets
2;41;Construction de bâtiments
2;42;Génie civil
2;43;Travaux de construction spécialisés
2;45;Commerce et réparation d'automobiles et de motocycles
2;46;Commerce de gros, à l'exception des automobiles et des motocycles
2;47;Commerce de détail, à l'exception des automobiles et des motocycles
2;49;Transports terrestres et transport par conduites
2;50;Transports par eau
2;51;Transports aériens
2;52;Entreposage et services auxiliaires des transports
2;53;Activités de poste et de courrier
2;55;Hébergement
2;56;Restauration
2;58;Édition
2;59;"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
2;60;Programmation et diffusion
2;61;Télécommunications
2;62;Programmation, conseil et autres activités informatiques
2;63;Services d'information
2;64;Activités des services financiers, hors assurance et caisses de retraite
2;65;Assurance
2;66;Activités auxiliaires de services financiers et d'assurance
2;68;Activités immobilières
2;69;Activités juridiques et comptables
2;70;"Activités des sièges sociaux ; conseil de gestion"
2;71;"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques"
2;72;Recherche-développement scientifique
2;73;Publicité et études de marché
2;74;Autres activités spécialisées, scientifiques et techniques
2;75;Activités vétérinaires
2;77;Activités de location et location-bail
2;78;Activités liées à l'emploi
2;79;Activités des agences de voyage, voyagistes, services de réservation et activités connexes
2;80;Enquêtes et sécurité
2;81;Services relatifs aux bâtiments et aménagement paysager
2;82;Activités administratives et autres activités de soutien aux entreprises
2;84;"Administration publique et défense ; sécurité sociale obligatoire"
2;85;Enseignement
2;86;Activités pour la santé humaine
2;87;Hébergement médico-social et social
2;88;Action sociale sans hébergement
2;90;Activités créatives, artistiques et de spectacle
2;91;Bibliothèques, archives, musées et autres activités culturelles
2;92;Organisation de jeux de hasard et d'argent
2;93;Activités sportives, récréatives et de loisirs
2;94;Activités des organisations associatives
2;95;Réparation d'ordinateurs et de biens personnels et domestiques
2;96;Autres services personnels
2;97;Activités des ménages en tant qu'employeurs de personnel domestique
2;98;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
2;99;Activités des organisations et organismes extraterritoriaux
3;01.1;Cultures non permanentes
3;01.2;Cultures permanentes
3;01.3;Reproduction de plantes
3;01.4;Production animale
3;01.5;Culture et élevage associés
3;01.6;Activités de soutien à l'agriculture et traitement primaire des récoltes
3;01.7;Chasse, piégeage et services annexes
3;02.1;Sylviculture et autres activités forestières
3;02.2;Exploitation forestière
3;02.3;Récolte de produits forestiers non ligneux poussant à l'état sauvage
3;02.4;Services de soutien à l'exploitation forestière
3;03.1;Pêche
3;03.2;Aquaculture
3;05.1;Extraction de houille
3;05.2;Extraction de lignite
3;06.1;Extraction de pétrole brut
3;06.2;Extraction de gaz naturel
3;07.1;Extraction de minerais de fer
3;07.2;Extraction de minerais de métaux non ferreux
3;08.1;Extraction de pierres, de sables et d'argiles
3;08.9;Activités extractives n.c.a.
3;09.1;Activités de soutien à l'extraction d'hydrocarbures
3;09.9;Activités de soutien aux autres industries extractives
3;10.1;Transformation et conservation de la viande et préparation de produits à base de viande
3;10.2;Transformation et conservation de poisson, de crustacés et de mollusques
3;10.3;Transformation et conservation de fruits et légumes
3;10.4;Fabrication d'huiles et graisses végétales et animales
3;10.5;Fabrication de produits laitiers
3;10.6;"Travail des grains ; fabrication de produits amylacés"
3;10.7;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires
3;10.8;Fabrication d'autres produits alimentaires
3;10.9;Fabrication d'aliments pour animaux
3;11.0;Fabrication de boissons
3;12.0;Fabrication de produits à base de tabac
3;13.1;Préparation de fibres textiles et filature
3;13.2;Tissage
3;13.3;Ennoblissement textile
3;13.9;Fabrication d'autres textiles
3;14.1;Fabrication de vêtements, autres qu'en fourrure
3;14.2;Fabrication d'articles en fourrure
3;14.3;Fabrication d'articles à mailles
